HTTrack3.49-2 launched on Fri, 02 Dec 2022 01:32:05 at https://vancouver-art.com
(winhttrack https://vancouver-art.com -O "Hotton marketplace/Daneil" -%v )

Information, Warnings and Errors reported for this mirror:
note:	the hts-log.txt file, and hts-cache folder, may contain sensitive information,
	such as username/password authentication for websites mirrored in this project
	do not share these files/folders if you want these information to remain private

02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1540 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1507 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1489 (from https://vancouver-art.com/item.aspx?t=1510)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=2143 (from https://vancouver-art.com/item.aspx?t=1567)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1498 (from https://vancouver-art.com/item.aspx?t=1567)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1543 (from https://vancouver-art.com/item.aspx?t=1567)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1492 (from https://vancouver-art.com/item.aspx?t=1567)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1513 (from https://vancouver-art.com/item.aspx?t=1567)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=2140 (from https://vancouver-art.com/item.aspx?t=1534)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1576 (from https://vancouver-art.com/item.aspx?t=1534)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1495 (from https://vancouver-art.com/item.aspx?t=1534)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1546 (from https://vancouver-art.com/item.aspx?t=1534)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=2137 (from https://vancouver-art.com/item.aspx?t=1528)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1561 (from https://vancouver-art.com/item.aspx?t=1528)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=2047 (from https://vancouver-art.com/item.aspx?t=1519)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=2044 (from https://vancouver-art.com/item.aspx?t=1504)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1537 (from https://vancouver-art.com/item.aspx?t=1504)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1582 (from https://vancouver-art.com/item.aspx?t=1504)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Author.aspx?a=1954 (from https://vancouver-art.com/item.aspx?t=1411)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=1822 (from https://vancouver-art.com/item.aspx?t=1411)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1444 (from https://vancouver-art.com/item.aspx?t=1411)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1408 (from https://vancouver-art.com/item.aspx?t=1411)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1447 (from https://vancouver-art.com/item.aspx?t=1411)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1399 (from https://vancouver-art.com/item.aspx?t=1411)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/item.aspx?t=1402 (from https://vancouver-art.com/item.aspx?t=1411)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=1795 (from https://vancouver-art.com/item.aspx?t=1405)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Collection.aspx?c=1789 (from https://vancouver-art.com/item.aspx?t=1396)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/author.aspx?a=13 (from https://vancouver-art.com/item.aspx?t=1075)
02:31:54	Error: 	"Service Unavailable" (503) at link https://vancouver-art.com/Author.aspx?a=1081 (from https://vancouver-art.com/item.aspx?t=1075)
02:32:18	Warning: 	Retry after error -4 (Incorrect length (28630169 Bytes, 28647940 expected)) at link https://vancouver-art.com/Author.aspx?a=1117 (from https://vancouver-art.com/item.aspx?t=1228)
02:34:24	Error: 	"Incorrect length (15725188 Bytes, 15744252 expected)" (-4) after 2 retries at link https://vancouver-art.com/collections.aspx?a=2476 (from https://vancouver-art.com/Author.aspx?a=2476)
02:34:24	Error: 	"Incorrect length (15533180 Bytes, 15566083 expected)" (-4) after 2 retries at link https://vancouver-art.com/collection.aspx?c=1906 (from https://vancouver-art.com/Author.aspx?a=2476)
02:34:24	Error: 	"Incorrect length (13748057 Bytes, 13800593 expected)" (-4) after 2 retries at link https://vancouver-art.com/collection.aspx?c=1903 (from https://vancouver-art.com/Author.aspx?a=2476)

HTTrack Website Copier/3.49-2 mirror complete in 1 hours 4 minutes 4 seconds : 383 links scanned, 300 files written (2084574985 bytes overall) [2065930018 bytes received at 537442 bytes/sec], 2078802382 bytes transferred using HTTP compression in 262 files, ratio 73%
(58 errors, 24 warnings, 0 messages)
